Generation 0
[[150, [7, 5], True, [1, 1], 128, [3, 3], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.059175822883844376
[[16, [7, 1], False, [1, 1], 8, [3, 1], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.08722514659166336
[[16, [5, 1], True, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06287775933742523
[[16, [3, 1], True, [1, 1], 32, [3, 3], False, [1, 1], False, <function tanh at 0x7fcdf653db70>, True]] : 0.08149385452270508
[[96, [3, 5], True, [1, 1], 8, [3, 1], True, [1, 1], True, <function tanh at 0x7fcdf653db70>, True]] : 0.08019145578145981
[[32, [3, 5], True, [1, 1], 8, [5, 5], True, [1, 1], False, <function tanh at 0x7fcdf653db70>, True]] : 0.07944618910551071
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], False, <function selu at 0x7fcdf635a378>, True]] : 0.07941491901874542
[[150, [3, 1], True, [1, 1], 128, [5, 5], True, [1, 1], False, <function selu at 0x7fcdf635a378>, True]] : 0.07269568741321564
[[8, [5, 1], True, [1, 1], 128, [7, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.08355698734521866
[[64, [3, 1], False, [1, 1], 96, [3, 5], False, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07402697205543518
[[64, [7, 5], False, [1, 1], 96, [7, 1], False, [1, 1], False, <function selu at 0x7fcdf635a378>, True]] : 0.07959110289812088
[[96, [3, 3], True, [1, 1], 8, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.07232318073511124
[[32, [3, 5], True, [1, 1], 32, [5, 1], False, [1, 1], False, <function selu at 0x7fcdf635a378>, True]] : 0.07914793491363525
[[96, [7, 1], False, [1, 1], 96, [3, 3], True, [1, 1], True, <function tanh at 0x7fcdf653db70>, True]] : 0.07927283644676208
[[8, [7, 5], False, [1, 1], 150, [5, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.08648104965686798
[[96, [3, 5], False, [1, 1], 8, [3, 5], True, [1, 1], True, <function tanh at 0x7fcdf653db70>, True]] : 0.08111175894737244
[[128, [3, 1], True, [1, 1], 32, [5, 5], False, [1, 1], False, <function selu at 0x7fcdf635a378>, True]] : 0.08103754371404648
[[16, [7, 3], False, [1, 1], 128, [7, 3], False, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07358413934707642
[[16, [3, 5], True, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07587028294801712
[[32, [3, 5], False, [1, 1], 128, [3, 5], False, [1, 1], False, <function relu6 at 0x7fce60cb00d0>, True]] : 0.0638737678527832
[[16, [3, 3], False, [1, 1], 150, [3, 3], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06410770118236542
[[64, [5, 5], True, [1, 1], 64, [5, 5], False, [1, 1], False, <function relu6 at 0x7fce60cb00d0>, True]] : 0.059625476598739624
[[32, [7, 1], True, [1, 1], 32, [3, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.076057069003582
[[16, [5, 3], False, [1, 1], 32, [3, 3], False, [1, 1], False, <function tanh at 0x7fcdf653db70>, True]] : 0.0801391452550888
[[96, [7, 3], True, [1, 1], 64, [3, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.07114271074533463
[[8, [5, 1], True, [1, 1], 150, [7, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06423525512218475
