Generation 0
[[128, [7, 5], False, [1, 1], 96, [5, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.08908101171255112
[[96, [3, 1], True, [1, 1], 8, [5, 3], False, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.06906110793352127
[[150, [3, 5], True, [1, 1], 64, [3, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07423330098390579
[[8, [3, 1], False, [1, 1], 32, [5, 3], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.07590888440608978
[[8, [7, 1], True, [1, 1], 150, [7, 5], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.06596683710813522
[[64, [5, 1], True, [1, 1], 32, [7, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.0853014588356018
[[32, [3, 3], False, [1, 1], 16, [5, 5], False, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0744495689868927
[[128, [7, 5], False, [1, 1], 150, [3, 1], True, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06666804850101471
[[64, [5, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06258400529623032
[[64, [5, 3], False, [1, 1], 150, [3, 3], False, [1, 1], False, <function relu at 0x7f81162d4a60>, True]] : 0.08650792390108109
[[16, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.06580321490764618
[[150, [7, 3], False, [1, 1], 150, [7, 1], False, [1, 1], False, <function tanh at 0x7f81164a0b70>, True]] : 0.07593954354524612
[[150, [3, 1], True, [1, 1], 16, [7, 5], False, [1, 1], False, <function relu at 0x7f81162d4a60>, True]] : 0.08167023211717606
[[16, [3, 1], True, [1, 1], 8, [3, 3], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.06966263800859451
