Generation 0
[[8, [5, 3], True, [1, 1], 16, [3, 1], True, [1, 1], True, <function tanh at 0x7fbe216a1b70>, True]] : 227.05010986328125
[[32, [7, 5], False, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0268096923828
[[32, [3, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9641571044922
[[64, [7, 3], True, [1, 1], 8, [5, 3], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.04833984375
[[64, [3, 3], True, [1, 1], 8, [5, 3], True, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.0734100341797
[[16, [5, 3], True, [1, 1], 16, [7, 3], True, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0638427734375
[[150, [3, 3], False, [1, 1], 64, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.0482635498047
[[96, [5, 3], False, [1, 1], 8, [3, 5], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.96185302734375
[[8, [7, 1], False, [1, 1], 150, [7, 3], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.96664428710938
[[32, [3, 5], True, [1, 1], 96, [3, 1], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.02684020996094
[[16, [3, 3], False, [1, 1], 64, [7, 3], False, [1, 1], True, <function tanh at 0x7fbe216a1b70>, True]] : 227.50100708007812
[[150, [3, 1], True, [1, 1], 32, [3, 5], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 226.97409057617188
[[96, [5, 5], False, [1, 1], 32, [3, 5], True, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.03880310058594
[[32, [7, 1], False, [1, 1], 128, [7, 3], True, [1, 1], False, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.07582092285156
[[16, [7, 3], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function tanh at 0x7fbe216a1b70>, True]] : 227.12135314941406
[[64, [5, 5], True, [1, 1], 8, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.03868103027344
[[96, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.04649353027344
[[8, [3, 1], True, [1, 1], 128, [5, 5], True, [1, 1], False, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.6405029296875
[[96, [5, 3], True, [1, 1], 150, [5, 3], True, [1, 1], False, <function tanh at 0x7fbe216a1b70>, True]] : 227.05618286132812
