Generation 0
[[16, [3, 3], False, [1, 1], 32, [3, 1], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07841580361127853
[[8, [5, 3], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.054130926728248596
[[128, [3, 1], True, [1, 1], 16, [5, 1], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.07573654502630234
[[128, [3, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.0727129653096199
[[128, [5, 3], False, [1, 1], 32, [3, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.049419332295656204
[[64, [5, 1], False, [1, 1], 8, [3, 1], True, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.0676959976553917
[[64, [3, 1], True, [1, 1], 128, [7, 3], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06626319885253906
[[96, [5, 1], False, [1, 1], 32, [3, 3], True, [1, 1], True, <function tanh at 0x7ff930d87c80>, True]] : 0.08823736757040024
[[96, [3, 3], True, [1, 1], 16, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.44308847188949585
[[96, [3, 3], True, [1, 1], 16, [7, 1], True, [1, 1], True, <function tanh at 0x7ff930d87c80>, True]] : 0.07986097782850266
[[8, [7, 3], True, [1, 1], 32, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.09659507125616074
[[128, [5, 1], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06214490532875061
[[32, [3, 3], True, [1, 1], 96, [7, 3], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.2595920264720917
[[64, [7, 1], True, [1, 1], 32, [3, 1], False, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.44306185841560364
[[128, [7, 1], True, [1, 1], 96, [7, 3], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.44081544876098633
[[16, [5, 3], False, [1, 1], 16, [5, 3], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06270293146371841
[[128, [5, 3], False, [1, 1], 64, [3, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.08509004861116409
[[96, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.09939462691545486
[[32, [3, 3], False, [1, 1], 8, [5, 3], True, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06858769059181213
[[128, [7, 1], True, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06355465948581696
[[64, [5, 1], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06025811657309532
[[32, [5, 3], True, [1, 1], 16, [5, 3], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.07446810603141785
[[96, [5, 1], False, [1, 1], 128, [7, 3], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06405901908874512
[[8, [7, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.05741892755031586
[[128, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.06344199925661087
[[64, [5, 3], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07262860238552094
[[96, [7, 1], True, [1, 1], 8, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06473149359226227
[[8, [5, 3], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.05858248844742775
[[16, [5, 1], False, [1, 1], 32, [7, 1], False, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.08736136555671692
[[96, [5, 3], False, [1, 1], 32, [3, 1], True, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.0932445302605629
Generation 1
[[8, [5, 3], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.0800536647439003
[[128, [3, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.04661170765757561
[[128, [5, 3], False, [1, 1], 32, [3, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.061099473387002945
[[64, [5, 1], False, [1, 1], 8, [3, 1], True, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.07111141085624695
[[64, [3, 1], True, [1, 1], 128, [7, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.06106748804450035
[[128, [5, 1], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.2254420667886734
[[32, [3, 3], True, [1, 1], 96, [7, 3], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.05991500988602638
[[16, [5, 3], False, [4, 1], 16, [5, 3], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.11060693860054016
[[128, [5, 3], False, [1, 1], 64, [3, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.44306182861328125
[[32, [3, 3], False, [1, 1], 8, [5, 3], True, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06578860431909561
[[128, [7, 1], True, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.05652517080307007
[[64, [5, 1], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06296887993812561
[[32, [5, 3], True, [1, 1], 16, [5, 3], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.0698634535074234
[[96, [5, 1], False, [1, 1], 128, [7, 3], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06274668872356415
