Generation 0
[[32, [7, 1], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.0684543177485466
[[16, [5, 1], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07372389733791351
[[16, [7, 3], True, [1, 1], 128, [7, 1], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07196589559316635
[[64, [3, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06398159265518188
[[64, [7, 1], True, [1, 1], 16, [3, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07119239866733551
[[96, [5, 3], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.04752683639526367
[[8, [5, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.0604405552148819
[[128, [7, 3], True, [1, 1], 8, [7, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06882791966199875
[[128, [7, 1], True, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06399610638618469
[[32, [3, 3], False, [1, 1], 64, [7, 3], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.06581267714500427
[[96, [3, 3], True, [1, 1], 96, [3, 1], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.04344421625137329
[[16, [3, 3], False, [1, 1], 32, [7, 1], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.2806186079978943
[[64, [3, 3], True, [1, 1], 32, [3, 1], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.06459497660398483
[[64, [5, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.06447111815214157
[[16, [7, 1], False, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7fecde7860d0>, True]] : 0.06529399752616882
[[8, [5, 3], False, [1, 1], 128, [3, 3], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.08139225095510483
[[32, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06484168767929077
[[128, [7, 1], True, [1, 1], 32, [7, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.40853118896484375
[[16, [7, 1], True, [1, 1], 96, [5, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06301990151405334
[[96, [3, 3], False, [1, 1], 32, [3, 3], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.0704173669219017
[[64, [7, 3], True, [1, 1], 128, [5, 1], False, [1, 1], True, <function leaky_relu at 0x7fecde7860d0>, True]] : 0.40853118896484375
[[96, [5, 3], False, [1, 1], 96, [7, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.05955744534730911
[[64, [5, 1], True, [1, 1], 64, [7, 1], True, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.07446136325597763
[[16, [5, 1], False, [1, 1], 128, [7, 1], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.04376470297574997
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.054488830268383026
[[64, [7, 1], False, [1, 1], 96, [7, 3], True, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.048680756241083145
[[64, [5, 3], True, [1, 1], 128, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.4085313081741333
[[64, [7, 1], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05869971960783005
[[32, [7, 3], True, [1, 1], 16, [5, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.07572126388549805
[[16, [7, 3], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.062052272260189056
Generation 1
[[16, [5, 1], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06456119567155838
[[64, [3, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.04763459786772728
[[96, [5, 3], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.06806682050228119
[[8, [5, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.0650874450802803
[[128, [7, 1], True, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06195894628763199
[[96, [3, 3], True, [1, 1], 96, [3, 1], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.35307827591896057
[[64, [3, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.06459688395261765
[[64, [5, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.06517323106527328
[[16, [7, 1], False, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7fecde7860d0>, True]] : 0.10894089937210083
[[32, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.0614999495446682
[[16, [7, 1], True, [1, 1], 96, [5, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06964512169361115
[[96, [3, 3], False, [1, 1], 32, [3, 3], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.06623914837837219
[[96, [5, 3], False, [1, 1], 96, [7, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.06504940241575241
[[16, [5, 1], False, [1, 1], 128, [7, 1], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.0754372701048851
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, False]] : 0.043236613273620605
[[64, [7, 1], False, [1, 1], 96, [7, 3], True, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.08184260129928589
[[64, [7, 1], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05370081588625908
[[16, [7, 3], False, [1, 1], 96, [7, 7], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.047939714044332504
[[96, [7, 1], False, [1, 1], 32, [5, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06690098345279694
[[16, [5, 1], True, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05603024363517761
[[64, [7, 1], True, [1, 1], 8, [5, 3], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.0675598755478859
[[16, [5, 1], False, [1, 1], 8, [7, 1], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.06251979619264603
[[16, [3, 3], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.06972065567970276
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.050890736281871796
[[8, [7, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.05910056456923485
[[64, [7, 1], True, [1, 1], 8, [5, 3], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05678031966090202
[[16, [5, 1], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07233791798353195
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05958370864391327
[[64, [3, 3], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06661855429410934
[[96, [7, 1], True, [1, 1], 32, [3, 1], False, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.07454591989517212
Generation 2
[[16, [5, 1], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06400104612112045
